[0xeb40940, 0xeb40941]
[0xeb439e0, 0xeb439e1]
[0xeb439e2, 0xeb439e3]
[0xeb439e4, 0xeb439e5]
[0xeb43a40, 0xeb43a41]
[0xeb43a42, 0xeb43a43]
[0xeb43a44, 0xeb43a45]
[0xeb43a60, 0xeb43a61]
[0xeb43a62, 0xeb43a63]
[0xeb43a64, 0xeb43a65]
[0xeb43ac0, 0xeb43ac1]
[0xeb43ac2, 0xeb43ac3]
[0xeb43ac4, 0xeb43ac5]
[0xeb43ae0, 0xeb43ae1]
[0xeb43ae2, 0xeb43ae3]
[0xeb43ae4, 0xeb43ae5]
[0xeb43b40, 0xeb43b41]
[0xeb43b42, 0xeb43b43]
[0xeb43b44, 0xeb43b45]
[0xeb43b60, 0xeb43b61]
[0xeb43b6e, 0xeb43b6f]
[0xeb43bc0, 0xeb43bc1]
[0xeb43bc2, 0xeb43bc3]
[0xeb43bc4, 0xeb43bc5]
[0xeb43be0, 0xeb43be1]
[0xeb43bee, 0xeb43bef]
[0xeb44940, 0xeb44941]
[0xeb44944, 0xeb44945]
[0xeb44946, 0xeb44947]
[0xeb44960, 0xeb44961]
[0xeb44964, 0xeb44965]
[0xeb44966, 0xeb44967]
[0xeb449c0, 0xeb449c1]
[0xeb449c4, 0xeb449c5]
[0xeb449c6, 0xeb449c7]
[0xeb449e0, 0xeb449e1]
[0xeb449e4, 0xeb449e5]
[0xeb449e6, 0xeb449e7]
[0xeb44a40, 0xeb44a41]
[0xeb44a44, 0xeb44a45]
[0xeb44a46, 0xeb44a47]
[0xeb44a60, 0xeb44a61]
[0xeb44a64, 0xeb44a65]
[0xeb44a66, 0xeb44a67]
[0xeb44ac0, 0xeb44ac1]
[0xeb44ac4, 0xeb44ac5]
[0xeb44ac6, 0xeb44ac7]
[0xeb44ae0, 0xeb44ae1]
[0xeb44ae4, 0xeb44ae5]
[0xeb44ae6, 0xeb44ae7]
[0xeb44b40, 0xeb44b41]
[0xeb44b44, 0xeb44b45]
[0xeb44b46, 0xeb44b47]
[0xeb44b60, 0xeb44b61]
[0xeb44b6e, 0xeb44b6f]
[0xeb44bc0, 0xeb44bc1]
[0xeb44bc4, 0xeb44bc5]
[0xeb44bc6, 0xeb44bc7]
[0xeb44be0, 0xeb44be1]
[0xeb44bee, 0xeb44bef]
[0xeb45940, 0xeb45941]
[0xeb45944, 0xeb45945]
[0xeb45946, 0xeb45947]
[0xeb45960, 0xeb45961]
[0xeb45964, 0xeb45965]
[0xeb45966, 0xeb45967]
[0xeb459c0, 0xeb459c1]
[0xeb459c4, 0xeb459c5]
[0xeb459c6, 0xeb459c7]
[0xeb459e0, 0xeb459e1]
[0xeb459e4, 0xeb459e5]
[0xeb459e6, 0xeb459e7]
[0xeb45a40, 0xeb45a41]
[0xeb45a44, 0xeb45a45]
[0xeb45a46, 0xeb45a47]
[0xeb45a60, 0xeb45a61]
[0xeb45a64, 0xeb45a65]
[0xeb45a66, 0xeb45a67]
[0xeb45ac0, 0xeb45ac1]
[0xeb45ac4, 0xeb45ac5]
[0xeb45ac6, 0xeb45ac7]
[0xeb45ae0, 0xeb45ae1]
[0xeb45ae4, 0xeb45ae5]
[0xeb45ae6, 0xeb45ae7]
[0xeb45b40, 0xeb45b41]
[0xeb45b44, 0xeb45b45]
[0xeb45b46, 0xeb45b47]
[0xeb45b60, 0xeb45b61]
[0xeb45b6e, 0xeb45b6f]
[0xeb45bc0, 0xeb45bc1]
[0xeb45bc4, 0xeb45bc5]
[0xeb45bc6, 0xeb45bc7]
[0xeb45be0, 0xeb45be1]
[0xeb45bee, 0xeb45bef]
[0xeb46940, 0xeb46941]
[0xeb46946, 0xeb46947]
[0xeb46948, 0xeb46949]
[0xeb46960, 0xeb46961]
[0xeb46966, 0xeb46967]
[0xeb46968, 0xeb46969]
[0xeb469c0, 0xeb469c1]
[0xeb469c6, 0xeb469c7]
[0xeb469c8, 0xeb469c9]
[0xeb469e0, 0xeb469e1]
[0xeb469e6, 0xeb469e7]
[0xeb469e8, 0xeb469e9]
[0xeb46a40, 0xeb46a41]
[0xeb46a46, 0xeb46a47]
[0xeb46a48, 0xeb46a49]
[0xeb46a60, 0xeb46a61]
[0xeb46a66, 0xeb46a67]
[0xeb46a68, 0xeb46a69]
[0xeb46ac0, 0xeb46ac1]
[0xeb46ac6, 0xeb46ac7]
[0xeb46ac8, 0xeb46ac9]
[0xeb46ae0, 0xeb46ae1]
[0xeb46ae6, 0xeb46ae7]
[0xeb46ae8, 0xeb46ae9]
[0xeb46b40, 0xeb46b41]
[0xeb46b46, 0xeb46b47]
[0xeb46b48, 0xeb46b49]
[0xeb46b60, 0xeb46b61]
[0xeb46b6e, 0xeb46b6f]
[0xeb46bc0, 0xeb46bc1]
[0xeb46bc6, 0xeb46bc7]
[0xeb46bc8, 0xeb46bc9]
[0xeb46be0, 0xeb46be1]
[0xeb46bee, 0xeb46bef]
[0xeb47940, 0xeb47941]
[0xeb47946, 0xeb47947]
[0xeb47948, 0xeb47949]
[0xeb47960, 0xeb47961]
[0xeb47966, 0xeb47967]
[0xeb47968, 0xeb47969]
[0xeb479c0, 0xeb479c1]
[0xeb479c6, 0xeb479c7]
[0xeb479c8, 0xeb479c9]
[0xeb479e0, 0xeb479e1]
[0xeb479e6, 0xeb479e7]
[0xeb479e8, 0xeb479e9]
[0xeb47a40, 0xeb47a41]
[0xeb47a46, 0xeb47a47]
[0xeb47a48, 0xeb47a49]
[0xeb47a60, 0xeb47a61]
[0xeb47a66, 0xeb47a67]
[0xeb47a68, 0xeb47a69]
[0xeb47ac0, 0xeb47ac1]
[0xeb47ac6, 0xeb47ac7]
[0xeb47ac8, 0xeb47ac9]
[0xeb47ae0, 0xeb47ae1]
[0xeb47ae6, 0xeb47ae7]
[0xeb47ae8, 0xeb47ae9]
[0xeb47b40, 0xeb47b41]
[0xeb47b46, 0xeb47b47]
[0xeb47b48, 0xeb47b49]
[0xeb47b60, 0xeb47b61]
[0xeb47b6e, 0xeb47b6f]
[0xeb47bc0, 0xeb47bc1]
[0xeb47bc6, 0xeb47bc7]
[0xeb47bc8, 0xeb47bc9]
[0xeb47be0, 0xeb47be1]
[0xeb47bee, 0xeb47bef]
[0xeb48940, 0xeb48941]
[0xeb48948, 0xeb48949]
[0xeb4894a, 0xeb4894b]
[0xeb48960, 0xeb48961]
[0xeb48968, 0xeb48969]
[0xeb4896a, 0xeb4896b]
[0xeb489c0, 0xeb489c1]
[0xeb489c8, 0xeb489c9]
[0xeb489ca, 0xeb489cb]
[0xeb489e0, 0xeb489e1]
[0xeb489e8, 0xeb489e9]
[0xeb489ea, 0xeb489eb]
[0xeb48a40, 0xeb48a41]
[0xeb48a48, 0xeb48a49]
[0xeb48a4a, 0xeb48a4b]
[0xeb48a60, 0xeb48a61]
[0xeb48a68, 0xeb48a69]
[0xeb48a6a, 0xeb48a6b]
[0xeb48ac0, 0xeb48ac1]
[0xeb48ac8, 0xeb48ac9]
[0xeb48aca, 0xeb48acb]
[0xeb48ae0, 0xeb48ae1]
[0xeb48ae8, 0xeb48ae9]
[0xeb48aea, 0xeb48aeb]
[0xeb48b40, 0xeb48b41]
[0xeb48b48, 0xeb48b49]
[0xeb48b4a, 0xeb48b4b]
[0xeb48b60, 0xeb48b61]
[0xeb48b6e, 0xeb48b6f]
[0xeb48bc0, 0xeb48bc1]
[0xeb48bc8, 0xeb48bc9]
[0xeb48bca, 0xeb48bcb]
[0xeb48be0, 0xeb48be1]
[0xeb48bee, 0xeb48bef]
[0xeb49940, 0xeb49941]
[0xeb49948, 0xeb49949]
[0xeb4994a, 0xeb4994b]
[0xeb49960, 0xeb49961]
[0xeb49968, 0xeb49969]
[0xeb4996a, 0xeb4996b]
[0xeb499c0, 0xeb499c1]
[0xeb499c8, 0xeb499c9]
[0xeb499ca, 0xeb499cb]
[0xeb499e0, 0xeb499e1]
[0xeb499e8, 0xeb499e9]
[0xeb499ea, 0xeb499eb]
[0xeb49a40, 0xeb49a41]
[0xeb49a48, 0xeb49a49]
[0xeb49a4a, 0xeb49a4b]
[0xeb49a60, 0xeb49a61]
[0xeb49a68, 0xeb49a69]
[0xeb49a6a, 0xeb49a6b]
[0xeb49ac0, 0xeb49ac1]
[0xeb49ac8, 0xeb49ac9]
[0xeb49aca, 0xeb49acb]
[0xeb49ae0, 0xeb49ae1]
[0xeb49ae8, 0xeb49ae9]
[0xeb49aea, 0xeb49aeb]
[0xeb49b40, 0xeb49b41]
[0xeb49b48, 0xeb49b49]
[0xeb49b4a, 0xeb49b4b]
[0xeb49b60, 0xeb49b61]
[0xeb49b6e, 0xeb49b6f]
[0xeb49bc0, 0xeb49bc1]
[0xeb49bc8, 0xeb49bc9]
[0xeb49bca, 0xeb49bcb]
[0xeb49be0, 0xeb49be1]
[0xeb49bee, 0xeb49bef]
[0xeb4a940, 0xeb4a941]
[0xeb4a94a, 0xeb4a94b]
[0xeb4a94c, 0xeb4a94d]
[0xeb4a960, 0xeb4a961]
[0xeb4a96a, 0xeb4a96b]
[0xeb4a96c, 0xeb4a96d]
[0xeb4a9c0, 0xeb4a9c1]
[0xeb4a9ca, 0xeb4a9cb]
[0xeb4a9cc, 0xeb4a9cd]
[0xeb4a9e0, 0xeb4a9e1]
[0xeb4a9ea, 0xeb4a9eb]
[0xeb4a9ec, 0xeb4a9ed]
[0xeb4aa40, 0xeb4aa41]
[0xeb4aa4a, 0xeb4aa4b]
[0xeb4aa4c, 0xeb4aa4d]
[0xeb4aa60, 0xeb4aa61]
[0xeb4aa6a, 0xeb4aa6b]
[0xeb4aa6c, 0xeb4aa6d]
[0xeb4aac0, 0xeb4aac1]
[0xeb4aaca, 0xeb4aacb]
[0xeb4aacc, 0xeb4aacd]
[0xeb4aae0, 0xeb4aae1]
[0xeb4aaea, 0xeb4aaeb]
[0xeb4aaec, 0xeb4aaed]
[0xeb4ab40, 0xeb4ab41]
[0xeb4ab4a, 0xeb4ab4b]
[0xeb4ab4c, 0xeb4ab4d]
[0xeb4ab60, 0xeb4ab61]
[0xeb4ab6e, 0xeb4ab6f]
[0xeb4abc0, 0xeb4abc1]
[0xeb4abca, 0xeb4abcb]
[0xeb4abcc, 0xeb4abcd]
[0xeb4abe0, 0xeb4abe1]
[0xeb4abee, 0xeb4abef]
[0xeb4b940, 0xeb4b941]
[0xeb4b94a, 0xeb4b94b]
[0xeb4b94c, 0xeb4b94d]
[0xeb4b960, 0xeb4b961]
[0xeb4b96a, 0xeb4b96b]
[0xeb4b96c, 0xeb4b96d]
[0xeb4b9c0, 0xeb4b9c1]
[0xeb4b9ca, 0xeb4b9cb]
[0xeb4b9cc, 0xeb4b9cd]
[0xeb4b9e0, 0xeb4b9e1]
[0xeb4b9ea, 0xeb4b9eb]
[0xeb4b9ec, 0xeb4b9ed]
[0xeb4ba40, 0xeb4ba41]
[0xeb4ba4a, 0xeb4ba4b]
[0xeb4ba4c, 0xeb4ba4d]
[0xeb4ba60, 0xeb4ba61]
[0xeb4ba6a, 0xeb4ba6b]
[0xeb4ba6c, 0xeb4ba6d]
[0xeb4bac0, 0xeb4bac1]
[0xeb4baca, 0xeb4bacb]
[0xeb4bacc, 0xeb4bacd]
[0xeb4bae0, 0xeb4bae1]
[0xeb4baea, 0xeb4baeb]
[0xeb4baec, 0xeb4baed]
[0xeb4bb40, 0xeb4bb41]
[0xeb4bb4a, 0xeb4bb4b]
[0xeb4bb4c, 0xeb4bb4d]
[0xeb4bb60, 0xeb4bb61]
[0xeb4bb6e, 0xeb4bb6f]
[0xeb4bbc0, 0xeb4bbc1]
[0xeb4bbca, 0xeb4bbcb]
[0xeb4bbcc, 0xeb4bbcd]
[0xeb4bbe0, 0xeb4bbe1]
[0xeb4bbee, 0xeb4bbef]
[0xeb4c940, 0xeb4c941]
[0xeb4c94c, 0xeb4c94d]
[0xeb4c94e, 0xeb4c94f]
[0xeb4c960, 0xeb4c961]
[0xeb4c96c, 0xeb4c96d]
[0xeb4c96e, 0xeb4c96f]
[0xeb4c9c0, 0xeb4c9c1]
[0xeb4c9cc, 0xeb4c9cd]
[0xeb4c9ce, 0xeb4c9cf]
[0xeb4c9e0, 0xeb4c9e1]
[0xeb4c9ec, 0xeb4c9ed]
[0xeb4c9ee, 0xeb4c9ef]
[0xeb4ca40, 0xeb4ca41]
[0xeb4ca4c, 0xeb4ca4d]
[0xeb4ca4e, 0xeb4ca4f]
[0xeb4ca60, 0xeb4ca61]
[0xeb4ca6c, 0xeb4ca6d]
[0xeb4ca6e, 0xeb4ca6f]
[0xeb4cac0, 0xeb4cac1]
[0xeb4cacc, 0xeb4cacd]
[0xeb4cace, 0xeb4cacf]
[0xeb4cae0, 0xeb4cae1]
[0xeb4caec, 0xeb4caed]
[0xeb4caee, 0xeb4caef]
[0xeb4cb40, 0xeb4cb41]
[0xeb4cb4c, 0xeb4cb4d]
[0xeb4cb4e, 0xeb4cb4f]
[0xeb4cb60, 0xeb4cb61]
[0xeb4cb6e, 0xeb4cb6f]
[0xeb4cbc0, 0xeb4cbc1]
[0xeb4cbcc, 0xeb4cbcd]
[0xeb4cbce, 0xeb4cbcf]
[0xeb4cbe0, 0xeb4cbe1]
[0xeb4cbee, 0xeb4cbef]
[0xeb4d940, 0xeb4d941]
[0xeb4d94c, 0xeb4d94d]
[0xeb4d94e, 0xeb4d94f]
[0xeb4d960, 0xeb4d961]
[0xeb4d96c, 0xeb4d96d]
[0xeb4d96e, 0xeb4d96f]
[0xeb4d9c0, 0xeb4d9c1]
[0xeb4d9cc, 0xeb4d9cd]
[0xeb4d9ce, 0xeb4d9cf]
[0xeb4d9e0, 0xeb4d9e1]
[0xeb4d9ec, 0xeb4d9ed]
[0xeb4d9ee, 0xeb4d9ef]
[0xeb4da40, 0xeb4da41]
[0xeb4da4c, 0xeb4da4d]
[0xeb4da4e, 0xeb4da4f]
[0xeb4da60, 0xeb4da61]
[0xeb4da6c, 0xeb4da6d]
[0xeb4da6e, 0xeb4da6f]
[0xeb4dac0, 0xeb4dac1]
[0xeb4dacc, 0xeb4dacd]
[0xeb4dace, 0xeb4dacf]
[0xeb4dae0, 0xeb4dae1]
[0xeb4daec, 0xeb4daed]
[0xeb4daee, 0xeb4daef]
[0xeb4db40, 0xeb4db41]
[0xeb4db4c, 0xeb4db4d]
[0xeb4db4e, 0xeb4db4f]
[0xeb4db60, 0xeb4db61]
[0xeb4db6e, 0xeb4db6f]
[0xeb4dbc0, 0xeb4dbc1]
[0xeb4dbcc, 0xeb4dbcd]
[0xeb4dbce, 0xeb4dbcf]
[0xeb4dbe0, 0xeb4dbe1]
[0xeb4dbee, 0xeb4dbef]
[0xeb4e940, 0xeb4e941]
[0xeb4e94e, 0xeb4e94f]
[0xeb4e960, 0xeb4e961]
[0xeb4e96e, 0xeb4e96f]
[0xeb4e9c0, 0xeb4e9c1]
[0xeb4e9ce, 0xeb4e9cf]
[0xeb4e9e0, 0xeb4e9e1]
[0xeb4e9ee, 0xeb4e9ef]
[0xeb4ea40, 0xeb4ea41]
[0xeb4ea4e, 0xeb4ea4f]
[0xeb4ea60, 0xeb4ea61]
[0xeb4ea6e, 0xeb4ea6f]
[0xeb4eac0, 0xeb4eac1]
[0xeb4eace, 0xeb4eacf]
[0xeb4eae0, 0xeb4eae1]
[0xeb4eaee, 0xeb4eaef]
[0xeb4eb40, 0xeb4eb41]
[0xeb4eb4e, 0xeb4eb4f]
[0xeb4eb60, 0xeb4eb61]
[0xeb4eb6e, 0xeb4eb6f]
[0xeb4ebc0, 0xeb4ebc1]
[0xeb4ebce, 0xeb4ebcf]
[0xeb4ebe0, 0xeb4ebe1]
[0xeb4ebee, 0xeb4ebef]
[0xeb4f940, 0xeb4f941]
[0xeb4f94e, 0xeb4f94f]
[0xeb4f960, 0xeb4f961]
[0xeb4f96e, 0xeb4f96f]
[0xeb4f9c0, 0xeb4f9c1]
[0xeb4f9ce, 0xeb4f9cf]
[0xeb4f9e0, 0xeb4f9e1]
[0xeb4f9ee, 0xeb4f9ef]
[0xeb4fa40, 0xeb4fa41]
[0xeb4fa4e, 0xeb4fa4f]
[0xeb4fa60, 0xeb4fa61]
[0xeb4fa6e, 0xeb4fa6f]
[0xeb4fac0, 0xeb4fac1]
[0xeb4face, 0xeb4facf]
[0xeb4fae0, 0xeb4fae1]
[0xeb4faee, 0xeb4faef]
[0xeb4fb40, 0xeb4fb41]
[0xeb4fb4e, 0xeb4fb4f]
[0xeb4fb60, 0xeb4fb61]
[0xeb4fb6e, 0xeb4fb6f]
[0xeb4fbc0, 0xeb4fbc1]
[0xeb4fbce, 0xeb4fbcf]
[0xeb4fbe0, 0xeb4fbe1]
[0xeb4fbee, 0xeb4fbef]
[0xeb50940, 0xeb50941]
[0xeb52940, 0xeb52941]
[0xeba2940, 0xeba2941]
[0xeba29ca, 0xeba29cb]
[0xef40940, 0xef40941]
[0xef40942, 0xef40943]
[0xef40960, 0xef40961]
[0xef40962, 0xef40963]
[0xef409c0, 0xef409c1]
[0xef409c2, 0xef409c3]
[0xef409e0, 0xef409e1]
[0xef409e2, 0xef409e3]
[0xef40a40, 0xef40a41]
[0xef40a42, 0xef40a43]
[0xef40a60, 0xef40a61]
[0xef40a62, 0xef40a63]
[0xef40ac0, 0xef40ac1]
[0xef40ac2, 0xef40ac3]
[0xef40ae0, 0xef40ae1]
[0xef40ae2, 0xef40ae3]
[0xef40b60, 0xef40b61]
[0xef40b62, 0xef40b63]
[0xef40b6e, 0xef40b6f]
[0xef40bc0, 0xef40bc1]
[0xef40be0, 0xef40be1]
[0xef40be2, 0xef40be3]
[0xef40bee, 0xef40bef]
[0xef41940, 0xef41941]
[0xef41942, 0xef41943]
[0xef41960, 0xef41961]
[0xef41962, 0xef41963]
[0xef419c0, 0xef419c1]
[0xef419c2, 0xef419c3]
[0xef419e0, 0xef419e1]
[0xef419e2, 0xef419e3]
[0xef41a40, 0xef41a41]
[0xef41a42, 0xef41a43]
[0xef41a60, 0xef41a61]
[0xef41a62, 0xef41a63]
[0xef41ac0, 0xef41ac1]
[0xef41ac2, 0xef41ac3]
[0xef41ae0, 0xef41ae1]
[0xef41ae2, 0xef41ae3]
[0xef41b60, 0xef41b61]
[0xef41b62, 0xef41b63]
[0xef41b6e, 0xef41b6f]
[0xef41bc0, 0xef41bc1]
[0xef41be0, 0xef41be1]
[0xef41be2, 0xef41be3]
[0xef41bee, 0xef41bef]
[0xef42940, 0xef42941]
[0xef42942, 0xef42943]
[0xef42944, 0xef42945]
[0xef42960, 0xef42961]
[0xef42962, 0xef42963]
[0xef42964, 0xef42965]
[0xef429c0, 0xef429c1]
[0xef429c2, 0xef429c3]
[0xef429c4, 0xef429c5]
[0xef429e0, 0xef429e1]
[0xef429e2, 0xef429e3]
[0xef429e4, 0xef429e5]
[0xef42a40, 0xef42a41]
[0xef42a42, 0xef42a43]
[0xef42a44, 0xef42a45]
[0xef42a60, 0xef42a61]
[0xef42a62, 0xef42a63]
[0xef42a64, 0xef42a65]
[0xef42ac0, 0xef42ac1]
[0xef42ac2, 0xef42ac3]
[0xef42ac4, 0xef42ac5]
[0xef42ae0, 0xef42ae1]
[0xef42ae2, 0xef42ae3]
[0xef42ae4, 0xef42ae5]
[0xef42b62, 0xef42b63]
[0xef42b64, 0xef42b65]
[0xef42b6e, 0xef42b6f]
[0xef42bc0, 0xef42bc1]
[0xef42be2, 0xef42be3]
[0xef42be4, 0xef42be5]
[0xef42bee, 0xef42bef]
[0xef43940, 0xef43941]
[0xef43942, 0xef43943]
[0xef43944, 0xef43945]
[0xef43960, 0xef43961]
[0xef43962, 0xef43963]
[0xef43964, 0xef43965]
[0xef439c0, 0xef439c1]
[0xef439c2, 0xef439c3]
[0xef439c4, 0xef439c5]
[0xef439e0, 0xef439e1]
[0xef439e2, 0xef439e3]
[0xef439e4, 0xef439e5]
[0xef43a40, 0xef43a41]
[0xef43a42, 0xef43a43]
[0xef43a44, 0xef43a45]
[0xef43a60, 0xef43a61]
[0xef43a62, 0xef43a63]
[0xef43a64, 0xef43a65]
[0xef43ac0, 0xef43ac1]
[0xef43ac2, 0xef43ac3]
[0xef43ac4, 0xef43ac5]
[0xef43ae0, 0xef43ae1]
[0xef43ae2, 0xef43ae3]
[0xef43ae4, 0xef43ae5]
[0xef43b62, 0xef43b63]
[0xef43b64, 0xef43b65]
[0xef43b6e, 0xef43b6f]
[0xef43bc0, 0xef43bc1]
[0xef43be2, 0xef43be3]
[0xef43be4, 0xef43be5]
[0xef43bee, 0xef43bef]
[0xef44940, 0xef44941]
[0xef44944, 0xef44945]
[0xef44946, 0xef44947]
[0xef44960, 0xef44961]
[0xef44964, 0xef44965]
[0xef44966, 0xef44967]
[0xef449c0, 0xef449c1]
[0xef449c4, 0xef449c5]
[0xef449c6, 0xef449c7]
[0xef449e0, 0xef449e1]
[0xef449e4, 0xef449e5]
[0xef449e6, 0xef449e7]
[0xef44a40, 0xef44a41]
[0xef44a44, 0xef44a45]
[0xef44a46, 0xef44a47]
[0xef44a60, 0xef44a61]
[0xef44a64, 0xef44a65]
[0xef44a66, 0xef44a67]
[0xef44ac0, 0xef44ac1]
[0xef44ac4, 0xef44ac5]
[0xef44ac6, 0xef44ac7]
[0xef44ae0, 0xef44ae1]
[0xef44ae4, 0xef44ae5]
[0xef44ae6, 0xef44ae7]
[0xef44b64, 0xef44b65]
[0xef44b66, 0xef44b67]
[0xef44b6e, 0xef44b6f]
[0xef44bc0, 0xef44bc1]
[0xef44be4, 0xef44be5]
[0xef44be6, 0xef44be7]
[0xef44bee, 0xef44bef]
[0xef45940, 0xef45941]
[0xef45944, 0xef45945]
[0xef45946, 0xef45947]
[0xef45960, 0xef45961]
[0xef45964, 0xef45965]
[0xef45966, 0xef45967]
[0xef459c0, 0xef459c1]
[0xef459c4, 0xef459c5]
[0xef459c6, 0xef459c7]
[0xef459e0, 0xef459e1]
[0xef459e4, 0xef459e5]
[0xef459e6, 0xef459e7]
[0xef45a40, 0xef45a41]
[0xef45a44, 0xef45a45]
[0xef45a46, 0xef45a47]
[0xef45a60, 0xef45a61]
[0xef45a64, 0xef45a65]
[0xef45a66, 0xef45a67]
[0xef45ac0, 0xef45ac1]
[0xef45ac4, 0xef45ac5]
[0xef45ac6, 0xef45ac7]
[0xef45ae0, 0xef45ae1]
[0xef45ae4, 0xef45ae5]
[0xef45ae6, 0xef45ae7]
[0xef45b64, 0xef45b65]
[0xef45b66, 0xef45b67]
[0xef45b6e, 0xef45b6f]
[0xef45bc0, 0xef45bc1]
[0xef45be4, 0xef45be5]
[0xef45be6, 0xef45be7]
[0xef45bee, 0xef45bef]
[0xef46940, 0xef46941]
[0xef46946, 0xef46947]
[0xef46948, 0xef46949]
[0xef46960, 0xef46961]
[0xef46966, 0xef46967]
[0xef46968, 0xef46969]
[0xef469c0, 0xef469c1]
[0xef469c6, 0xef469c7]
[0xef469c8, 0xef469c9]
[0xef469e0, 0xef469e1]
[0xef469e6, 0xef469e7]
[0xef469e8, 0xef469e9]
[0xef46a40, 0xef46a41]
[0xef46a46, 0xef46a47]
[0xef46a48, 0xef46a49]
[0xef46a60, 0xef46a61]
[0xef46a66, 0xef46a67]
[0xef46a68, 0xef46a69]
[0xef46ac0, 0xef46ac1]
[0xef46ac6, 0xef46ac7]
[0xef46ac8, 0xef46ac9]
[0xef46ae0, 0xef46ae1]
[0xef46ae6, 0xef46ae7]
[0xef46ae8, 0xef46ae9]
[0xef46b66, 0xef46b67]
[0xef46b68, 0xef46b69]
[0xef46b6e, 0xef46b6f]
[0xef46bc0, 0xef46bc1]
[0xef46be6, 0xef46be7]
[0xef46be8, 0xef46be9]
[0xef46bee, 0xef46bef]
[0xef47940, 0xef47941]
[0xef47946, 0xef47947]
[0xef47948, 0xef47949]
[0xef47960, 0xef47961]
[0xef47966, 0xef47967]
[0xef47968, 0xef47969]
[0xef479c0, 0xef479c1]
[0xef479c6, 0xef479c7]
[0xef479c8, 0xef479c9]
[0xef479e0, 0xef479e1]
[0xef479e6, 0xef479e7]
[0xef479e8, 0xef479e9]
[0xef47a40, 0xef47a41]
[0xef47a46, 0xef47a47]
[0xef47a48, 0xef47a49]
[0xef47a60, 0xef47a61]
[0xef47a66, 0xef47a67]
[0xef47a68, 0xef47a69]
[0xef47ac0, 0xef47ac1]
[0xef47ac6, 0xef47ac7]
