[0x2000b0, 0x2000bf]
[0x202bb0, 0x202bbf]
[0x202bf0, 0x202bff]
[0x202cb0, 0x202cbf]
[0x202cf0, 0x202cff]
[0x202db0, 0x202dbf]
[0x202df0, 0x202dff]
[0x202eb0, 0x202ebf]
[0x202ef0, 0x202eff]
[0x202fb0, 0x202fbf]
[0x202ff0, 0x202fff]
[0x2030b0, 0x2030bf]
[0x2030f0, 0x2030ff]
[0x2031b0, 0x2031bf]
[0x2031f0, 0x2031ff]
[0x2032b0, 0x2032bf]
[0x2032f0, 0x2032ff]
[0x2033b0, 0x2033bf]
[0x2033f0, 0x2033ff]
[0x2034b0, 0x2034bf]
[0x2034f0, 0x2034ff]
[0x2035b0, 0x2035bf]
[0x2035f0, 0x2035ff]
[0x2036b0, 0x2036bf]
[0x2036f0, 0x2036ff]
[0x2037b0, 0x2037bf]
[0x2037f0, 0x2037ff]
[0x2038b0, 0x2038bf]
[0x2038f0, 0x2038ff]
[0x2039b0, 0x2039bf]
[0x2039f0, 0x2039ff]
[0x203ab0, 0x203abf]
[0x203af0, 0x203aff]
[0x203bb0, 0x203bbf]
[0x203bf0, 0x203bff]
[0x203cb0, 0x203cbf]
[0x203cf0, 0x203cff]
[0x203db0, 0x203dbf]
[0x203df0, 0x203dff]
[0x203eb0, 0x203ebf]
[0x203ef0, 0x203eff]
[0x203fb0, 0x203fbf]
[0x203ff0, 0x203fff]
[0x2040b0, 0x2040bf]
[0x2040f0, 0x2040ff]
[0x2041b0, 0x2041bf]
[0x2041f0, 0x2041ff]
[0x2042b0, 0x2042bf]
[0x2042f0, 0x2042ff]
[0x2043b0, 0x2043bf]
[0x2043f0, 0x2043ff]
[0x2044b0, 0x2044bf]
[0x2044f0, 0x2044ff]
[0x2045b0, 0x2045bf]
[0x2045f0, 0x2045ff]
[0x2046b0, 0x2046bf]
[0x2046f0, 0x2046ff]
[0x2047b0, 0x2047bf]
[0x2047f0, 0x2047ff]
[0x2048b0, 0x2048bf]
[0x2048f0, 0x2048ff]
[0x2049b0, 0x2049bf]
[0x2049f0, 0x2049ff]
[0x204ab0, 0x204abf]
[0x204af0, 0x204aff]
[0x204bb0, 0x204bbf]
[0x204bf0, 0x204bff]
[0x204cb0, 0x204cbf]
[0x204cf0, 0x204cff]
[0x204db0, 0x204dbf]
[0x204df0, 0x204dff]
[0x204eb0, 0x204ebf]
[0x204ef0, 0x204eff]
[0x204fb0, 0x204fbf]
[0x204ff0, 0x204fff]
[0x2050b0, 0x2050bf]
[0x2050f0, 0x2050ff]
[0x2051b0, 0x2051bf]
[0x2051f0, 0x2051ff]
[0x2052b0, 0x2052bf]
[0x2052f0, 0x2052ff]
[0x2053b0, 0x2053bf]
[0x2053f0, 0x2053ff]
[0x2054b0, 0x2054bf]
[0x2054f0, 0x2054ff]
[0x2055b0, 0x2055bf]
[0x2055f0, 0x2055ff]
[0x2056b0, 0x2056bf]
[0x2056f0, 0x2056ff]
[0x2057b0, 0x2057bf]
[0x2057f0, 0x2057ff]
[0x2058b0, 0x2058bf]
[0x2058f0, 0x2058ff]
[0x2059b0, 0x2059bf]
[0x2059f0, 0x2059ff]
[0x205ab0, 0x205abf]
[0x205af0, 0x205aff]
[0x205bb0, 0x205bbf]
[0x205bf0, 0x205bff]
[0x205cb0, 0x205cbf]
[0x205cf0, 0x205cff]
[0x205db0, 0x205dbf]
[0x205df0, 0x205dff]
[0x205eb0, 0x205ebf]
[0x205ef0, 0x205eff]
[0x205fb0, 0x205fbf]
[0x205ff0, 0x205fff]
[0x2060b0, 0x2060bf]
[0x2060f0, 0x2060ff]
[0x2061b0, 0x2061bf]
[0x2061f0, 0x2061ff]
[0x2062b0, 0x2062bf]
[0x2062f0, 0x2062ff]
[0x2063b0, 0x2063bf]
[0x2063f0, 0x2063ff]
[0x2064b0, 0x2064bf]
[0x2064f0, 0x2064ff]
[0x2065b0, 0x2065bf]
[0x2065f0, 0x2065ff]
[0x2066b0, 0x2066bf]
[0x2066f0, 0x2066ff]
[0x2067b0, 0x2067bf]
[0x2067f0, 0x2067ff]
[0x2068b0, 0x2068bf]
[0x2068f0, 0x2068ff]
[0x2069b0, 0x2069bf]
[0x2069f0, 0x2069ff]
[0x206ab0, 0x206abf]
[0x206af0, 0x206aff]
[0x206bb0, 0x206bbf]
[0x206bf0, 0x206bff]
[0x206cb0, 0x206cbf]
[0x206cf0, 0x206cff]
[0x206db0, 0x206dbf]
[0x206df0, 0x206dff]
[0x206eb0, 0x206ebf]
[0x206ef0, 0x206eff]
[0x206fb0, 0x206fbf]
[0x206ff0, 0x206fff]
[0x2070b0, 0x2070bf]
[0x2070f0, 0x2070ff]
[0x2071b0, 0x2071bf]
[0x2071f0, 0x2071ff]
[0x2072b0, 0x2072bf]
[0x2072f0, 0x2072ff]
[0x2073b0, 0x2073bf]
[0x2073f0, 0x2073ff]
[0x2074b0, 0x2074bf]
[0x2074f0, 0x2074ff]
[0x2075b0, 0x2075bf]
[0x2075f0, 0x2075ff]
[0x2076b0, 0x2076bf]
[0x2076f0, 0x2076ff]
[0x2077b0, 0x2077bf]
[0x2077f0, 0x2077ff]
[0x2078b0, 0x2078bf]
[0x2078f0, 0x2078ff]
[0x2079b0, 0x2079bf]
[0x2079f0, 0x2079ff]
[0x207ab0, 0x207abf]
[0x207af0, 0x207aff]
[0x207bb0, 0x207bbf]
[0x207bf0, 0x207bff]
[0x207cb0, 0x207cbf]
[0x207cf0, 0x207cf3]
[0x207cf4, 0x207cff]
[0x207db0, 0x207dbf]
[0x207df0, 0x207dff]
[0x207eb0, 0x207ebf]
[0x207ef0, 0x207eff]
[0x207fb0, 0x207fbf]
[0x207ff0, 0x207fff]
[0x2080b0, 0x2080bf]
[0x2080f0, 0x2080ff]
[0x2081b0, 0x2081bf]
[0x2081f0, 0x2081ff]
[0x2082b0, 0x2082bf]
[0x2082f0, 0x2082ff]
[0x2083b0, 0x2083bf]
[0x2083f0, 0x2083ff]
[0x2084b0, 0x2084bf]
[0x2084f0, 0x2084ff]
[0x2085b0, 0x2085bf]
[0x2085f0, 0x2085ff]
[0x2086b0, 0x2086bf]
[0x2086f0, 0x2086ff]
[0x2087b0, 0x2087bf]
[0x2087f0, 0x2087ff]
[0x2088b0, 0x2088bf]
[0x2088f0, 0x2088ff]
[0x2089b0, 0x2089bf]
[0x2089f0, 0x2089ff]
[0x208ab0, 0x208abf]
[0x208af0, 0x208af1]
[0x208af2, 0x208aff]
[0x208bb0, 0x208bbf]
[0x208bf0, 0x208bff]
[0x208cb0, 0x208cbf]
[0x208cf0, 0x208cff]
[0x208db0, 0x208dbf]
[0x208df0, 0x208dff]
[0x208eb0, 0x208ebf]
[0x208ef0, 0x208eff]
[0x208fb0, 0x208fbf]
[0x208ff0, 0x208fff]
[0x2090b0, 0x2090bf]
[0x2090f0, 0x2090ff]
[0x2091b0, 0x2091bf]
[0x2091f0, 0x2091ff]
[0x2092b0, 0x2092bf]
[0x2092f0, 0x2092ff]
[0x2093b0, 0x2093bf]
[0x2093f0, 0x2093ff]
[0x2094b0, 0x2094bf]
[0x2094f0, 0x2094ff]
[0x2095b0, 0x2095bf]
[0x2095f0, 0x2095ff]
[0x2096b0, 0x2096bf]
[0x2096f0, 0x2096ff]
[0x2097b0, 0x2097bc]
[0x2097bd, 0x2097bf]
[0x2097f0, 0x2097ff]
[0x2098b0, 0x2098bf]
[0x2098f0, 0x2098ff]
[0x2099b0, 0x2099bf]
[0x2099f0, 0x2099ff]
[0x209ab0, 0x209abf]
[0x209af0, 0x209aff]
[0x209bb0, 0x209bbf]
[0x209bf0, 0x209bff]
[0x209cb0, 0x209cb8]
[0x209cb9, 0x209cbf]
[0x209cf0, 0x209cff]
[0x209db0, 0x209dbf]
[0x209df0, 0x209dff]
[0x209eb0, 0x209eb3]
[0x209eb4, 0x209ebf]
[0x209ef0, 0x209eff]
[0x209fb0, 0x209fbf]
[0x209ff0, 0x209fff]
[0x20a0b0, 0x20a0bf]
[0x20a0f0, 0x20a0ff]
[0x20a1b0, 0x20a1bf]
[0x20a1f0, 0x20a1ff]
[0x20a2b0, 0x20a2bf]
[0x20a2f0, 0x20a2ff]
[0x20a3b0, 0x20a3bf]
[0x20a3f0, 0x20a3ff]
[0x20a4b0, 0x20a4bf]
[0x20a4f0, 0x20a4ff]
[0x20a5b0, 0x20a5bf]
[0x20a5f0, 0x20a5ff]
[0x20a6b0, 0x20a6bf]
[0x20a6f0, 0x20a6ff]
[0x20a7b0, 0x20a7bf]
[0x20a7f0, 0x20a7ff]
[0x20a8b0, 0x20a8bf]
[0x20a8f0, 0x20a8ff]
[0x20a9b0, 0x20a9bf]
[0x20a9f0, 0x20a9ff]
[0x20aab0, 0x20aabf]
[0x20aaf0, 0x20aaff]
[0x20abb0, 0x20abbf]
[0x20abf0, 0x20abff]
[0x20acb0, 0x20acbf]
[0x20acf0, 0x20acff]
[0x20adb0, 0x20adbf]
[0x20adf0, 0x20adff]
[0x20aeb0, 0x20aebf]
[0x20aef0, 0x20aeff]
[0x20afb0, 0x20afbf]
[0x20aff0, 0x20afff]
[0x20b0b0, 0x20b0bf]
[0x20b0f0, 0x20b0ff]
[0x20b1b0, 0x20b1b5]
[0x20b1b6, 0x20b1bf]
[0x20b1f0, 0x20b1ff]
[0x20b2b0, 0x20b2bf]
[0x20b2f0, 0x20b2ff]
[0x20b3b0, 0x20b3bf]
[0x20b3f0, 0x20b3ff]
[0x20b4b1, 0x20b4bf]
[0x20b4f0, 0x20b4ff]
[0x20b5b0, 0x20b5bf]
[0x20b5f0, 0x20b5ff]
[0x20b6b0, 0x20b6bf]
[0x20b6f0, 0x20b6ff]
[0x20b7b0, 0x20b7bf]
[0x20b7f0, 0x20b7ff]
[0x20b8b0, 0x20b8bf]
[0x20b8f0, 0x20b8ff]
[0x20b9b0, 0x20b9bf]
[0x20b9f0, 0x20b9ff]
[0x20bab0, 0x20babf]
[0x20baf0, 0x20bafc]
[0x20bafd, 0x20baff]
[0x20bbb0, 0x20bbbf]
[0x20bbf0, 0x20bbff]
[0x20bcb0, 0x20bcbf]
[0x20bcf0, 0x20bcff]
[0x20bdb0, 0x20bdbd]
[0x20bdbe, 0x20bdbf]
[0x20bdf0, 0x20bdff]
[0x20beb1, 0x20beb4]
[0x20beb5, 0x20bebf]
[0x20bef0, 0x20beff]
[0x20bfb0, 0x20bfbf]
[0x20bff0, 0x20bfff]
[0x20c0b0, 0x20c0bf]
[0x20c0f0, 0x20c0ff]
[0x20c1b0, 0x20c1bf]
[0x20c1f0, 0x20c1ff]
[0x20c2b0, 0x20c2bf]
[0x20c2f0, 0x20c2ff]
[0x20c3b0, 0x20c3bf]
[0x20c3f0, 0x20c3ff]
[0x20c4b0, 0x20c4bf]
[0x20c4f0, 0x20c4ff]
[0x20c5b0, 0x20c5bf]
[0x20c5f0, 0x20c5ff]
[0x20c6b0, 0x20c6bf]
[0x20c6f0, 0x20c6ff]
[0x20c7b0, 0x20c7bf]
[0x20c7f0, 0x20c7ff]
[0x20c8b0, 0x20c8bf]
[0x20c8f0, 0x20c8ff]
[0x20c9b0, 0x20c9bf]
[0x20c9f0, 0x20c9ff]
[0x20cab0, 0x20cabf]
[0x20caf0, 0x20caff]
[0x20cbb0, 0x20cbbf]
[0x20cbf0, 0x20cbff]
[0x20ccb0, 0x20ccbf]
[0x20ccf0, 0x20ccff]
[0x20cdb0, 0x20cdbf]
[0x20cdf0, 0x20cdff]
[0x20ceb0, 0x20cebf]
[0x20cef0, 0x20ceff]
[0x20cfb0, 0x20cfbf]
[0x20cff0, 0x20cfff]
[0x20d0b0, 0x20d0bf]
[0x20d0f0, 0x20d0ff]
[0x20d1b0, 0x20d1bf]
[0x20d1f0, 0x20d1ff]
[0x20d2b0, 0x20d2bf]
[0x20d2f0, 0x20d2ff]
[0x20d3b0, 0x20d3bf]
[0x20d3f0, 0x20d3ff]
[0x20d4b0, 0x20d4bf]
[0x20d4f0, 0x20d4fa]
[0x20d4fb, 0x20d4ff]
[0x20d5b0, 0x20d5b8]
[0x20d5b9, 0x20d5bf]
[0x20d5f0, 0x20d5ff]
[0x20d6b0, 0x20d6bd]
[0x20d6be, 0x20d6bf]
[0x20d6f0, 0x20d6ff]
[0x20d7b0, 0x20d7bf]
[0x20d7f0, 0x20d7fd]
[0x20d7fe, 0x20d7ff]
[0x20d8b0, 0x20d8bf]
[0x20d8f0, 0x20d8ff]
[0x20d9b0, 0x20d9bf]
[0x20d9f0, 0x20d9ff]
[0x20dab0, 0x20dabf]
[0x20daf0, 0x20daff]
[0x20dbb0, 0x20dbbf]
[0x20dbf0, 0x20dbff]
[0x20dcb0, 0x20dcbf]
[0x20dcf0, 0x20dcff]
[0x20ddb0, 0x20ddbf]
[0x20ddf0, 0x20ddff]
[0x20deb0, 0x20debf]
[0x20def0, 0x20deff]
[0x20dfb0, 0x20dfbf]
[0x20dff0, 0x20dfff]
[0x20e0b0, 0x20e0bf]
[0x20e1b0, 0x20e1bf]
[0x20e2b0, 0x20e2bf]
[0x20e3b0, 0x20e3bf]
[0x20e4b0, 0x20e4bf]
[0x20e5b0, 0x20e5bf]
[0x20e6b0, 0x20e6bf]
[0x20e7b0, 0x20e7bf]
[0x20e8b0, 0x20e8bf]
[0x20e9b0, 0x20e9bf]
[0x20eab0, 0x20eabf]
[0x20ebb0, 0x20ebbf]
[0x20ecb0, 0x20ecbf]
[0x20edb0, 0x20edbf]
[0x20eeb0, 0x20eebf]
[0x20efb0, 0x20efbf]
[0x2100b0, 0x2100bf]
[0x2100f0, 0x2100ff]
[0x2101b0, 0x2101bf]
[0x2101f0, 0x2101ff]
[0x2102b0, 0x2102bf]
[0x2102f0, 0x2102ff]
[0x2103b0, 0x2103bf]
[0x2103f0, 0x2103ff]
[0x2104b0, 0x2104bf]
[0x2104f0, 0x2104ff]
[0x2105b0, 0x2105bf]
[0x2105f0, 0x2105ff]
[0x2106b0, 0x2106bf]
[0x2106f0, 0x2106ff]
[0x2107b0, 0x2107bf]
[0x2107f0, 0x2107ff]
[0x2108b0, 0x2108bf]
[0x2108f0, 0x2108ff]
[0x2109b0, 0x2109b3]
[0x2109b4, 0x2109bf]
[0x2109f0, 0x2109f4]
[0x2109f5, 0x2109ff]
[0x210ab0, 0x210abf]
[0x210af0, 0x210aff]
[0x210bb0, 0x210bbf]
[0x210bf0, 0x210bff]
[0x210cb0, 0x210cbf]
[0x210cf0, 0x210cff]
[0x210db0, 0x210dbf]
[0x210df0, 0x210dff]
[0x210eb0, 0x210ebf]
[0x210ef0, 0x210eff]
[0x210fb0, 0x210fbf]
[0x210ff0, 0x210fff]
[0x2110b0, 0x2110bf]
[0x2110f0, 0x2110ff]
[0x2111b0, 0x2111bf]
[0x2111f0, 0x2111ff]
[0x2112b0, 0x2112bf]
[0x2112f0, 0x2112ff]
[0x2113b0, 0x2113bf]
[0x2113f0, 0x2113ff]
[0x2114b0, 0x2114bf]
[0x2114f0, 0x2114ff]
[0x2115b0, 0x2115bf]
[0x2115f0, 0x2115ff]
[0x2116b0, 0x2116bf]
[0x2116f0, 0x2116ff]
[0x2117b0, 0x2117bf]
[0x2117f0, 0x2117ff]
[0x2118b0, 0x2118bf]
[0x2118f0, 0x2118ff]
[0x2119b0, 0x2119bf]
[0x2119f0, 0x2119ff]
[0x211ab0, 0x211abf]
[0x211af0, 0x211aff]
[0x211bb0, 0x211bbf]
[0x211bf0, 0x211bf8]
[0x211bf9, 0x211bff]
[0x211cb0, 0x211cbf]
[0x211cf0, 0x211cff]
[0x211db0, 0x211dbf]
[0x211df0, 0x211dff]
[0x211eb0, 0x211ebf]
[0x211ef0, 0x211eff]
[0x211fb0, 0x211fbf]
[0x211ff0, 0x211fff]
[0x2120b0, 0x2120bf]
[0x2120f0, 0x2120ff]
[0x2121b0, 0x2121b2]
[0x2121b3, 0x2121bf]
[0x2121f0, 0x2121ff]
[0x2122b0, 0x2122bf]
[0x2122f0, 0x2122ff]
[0x2123b0, 0x2123b4]
[0x2123b5, 0x2123bf]
[0x2123f0, 0x2123f9]
[0x2123fa, 0x2123ff]
[0x2124b0, 0x2124bf]
[0x2124f0, 0x2124ff]
[0x2125b0, 0x2125bf]
[0x2125f0, 0x2125ff]
[0x2126b0, 0x2126bf]
[0x2126f0, 0x2126ff]
[0x2127b0, 0x2127bf]
[0x2127f0, 0x2127ff]
[0x2128b0, 0x2128bf]
[0x2128f0, 0x2128ff]
[0x2129b0, 0x2129bf]
[0x2129f0, 0x2129ff]
[0x212ab0, 0x212abf]
[0x212af0, 0x212aff]
[0x212bb0, 0x212bbf]
[0x212bf0, 0x212bff]
[0x212cb0, 0x212cbf]
[0x212cf0, 0x212cff]
[0x212db0, 0x212dbf]
[0x212df0, 0x212dff]
[0x212eb0, 0x212ebf]
[0x212ef0, 0x212ef4]
[0x212ef5, 0x212eff]
[0x212fb0, 0x212fbf]
[0x212ff0, 0x212fff]
[0x2130b0, 0x2130bf]
[0x2130f0, 0x2130ff]
[0x2131b0, 0x2131bf]
[0x2131f0, 0x2131ff]
[0x2132b0, 0x2132bf]
[0x2132f0, 0x2132ff]
[0x2133b0, 0x2133bf]
[0x2133f0, 0x2133ff]
[0x2134b0, 0x2134bf]
[0x2134f0, 0x2134ff]
[0x2135b0, 0x2135bf]
[0x2135f0, 0x2135ff]
[0x2136b0, 0x2136bf]
[0x2136f0, 0x2136ff]
[0x2137b0, 0x2137bf]
[0x2137f0, 0x2137ff]
[0x2138b0, 0x2138bf]
[0x2138f0, 0x2138ff]
[0x2139b0, 0x2139bf]
[0x2139f0, 0x2139ff]
[0x213ab0, 0x213abf]
[0x213af0, 0x213aff]
[0x213bb0, 0x213bbf]
[0x213bf0, 0x213bff]
[0x213cb0, 0x213cbf]
[0x213cf0, 0x213cff]
[0x213db0, 0x213dbf]
[0x213df0, 0x213dff]
[0x213eb0, 0x213ebf]
[0x213ef0, 0x213eff]
[0x213fb0, 0x213fbf]
[0x213ff0, 0x213fff]
[0x2140b0, 0x2140bf]
[0x2140f0, 0x2140ff]
[0x2141b0, 0x2141bf]
[0x2141f0, 0x2141ff]
[0x2142b0, 0x2142bf]
[0x2142f0, 0x2142ff]
[0x2143b0, 0x2143bf]
[0x2143f0, 0x2143ff]
[0x2144b0, 0x2144bf]
[0x2144f0, 0x2144ff]
[0x2145b0, 0x2145bf]
[0x2145f0, 0x2145f1]
[0x2145f2, 0x2145ff]
[0x2146b0, 0x2146bf]
[0x2146f0, 0x2146ff]
[0x2147b0, 0x2147bf]
[0x2147f0, 0x2147ff]
[0x2148b0, 0x2148bf]
[0x2148f0, 0x2148ff]
[0x2149b0, 0x2149bf]
[0x2149f0, 0x2149ff]
[0x214ab0, 0x214abf]
[0x214af0, 0x214aff]
[0x214bb0, 0x214bbf]
[0x214bf0, 0x214bff]
[0x214cb0, 0x214cbf]
[0x214cf0, 0x214cff]
[0x214db0, 0x214dbf]
[0x214df0, 0x214dff]
[0x214eb0, 0x214ebf]
[0x214ef0, 0x214eff]
[0x214fb0, 0x214fbf]
[0x214ff0, 0x214fff]
[0x2150b0, 0x2150b5]
[0x2150b6, 0x2150bf]
[0x2150f0, 0x2150ff]
[0x2151b0, 0x2151b1]
[0x2151b2, 0x2151bf]
[0x2151f0, 0x2151ff]
[0x2152b0, 0x2152bf]
[0x2152f0, 0x2152ff]
[0x2153b0, 0x2153bf]
[0x2153f0, 0x2153ff]
[0x2154b0, 0x2154bf]
[0x2154f0, 0x2154ff]
[0x2155b0, 0x2155bf]
[0x2155f0, 0x2155ff]
[0x2156b0, 0x2156bf]
[0x2156f0, 0x2156ff]
[0x2157b0, 0x2157b8]
[0x2157b9, 0x2157bf]
[0x2157f0, 0x2157ff]
[0x2158b0, 0x2158bf]
[0x2158f0, 0x2158ff]
[0x2159b0, 0x2159bf]
[0x2159f0, 0x2159ff]
[0x215ab0, 0x215ab9]
[0x215aba, 0x215abf]
[0x215af0, 0x215aff]
[0x215bb0, 0x215bbf]
[0x215bf0, 0x215bff]
[0x215cb0, 0x215cbf]
[0x215cf0, 0x215cff]
[0x215db0, 0x215dbf]
[0x215df0, 0x215dff]
[0x215eb0, 0x215ebf]
[0x215ef0, 0x215eff]
[0x215fb0, 0x215fbf]
[0x215ff0, 0x215fff]
[0x2160b0, 0x2160bf]
[0x2160f0, 0x2160ff]
[0x2161b0, 0x2161bf]
[0x2161f0, 0x2161ff]
[0x2162b0, 0x2162bf]
[0x2162f0, 0x2162ff]
[0x2163b0, 0x2163bf]
[0x2163f0, 0x2163ff]
[0x2164b0, 0x2164bf]
[0x2164f0, 0x2164ff]
[0x2165b0, 0x2165b5]
[0x2165b6, 0x2165bf]
[0x2165f0, 0x2165ff]
[0x2166b0, 0x2166bf]
[0x2166f0, 0x2166ff]
[0x2167b0, 0x2167bf]
[0x2167f0, 0x2167ff]
[0x2168b0, 0x2168bf]
[0x2168f0, 0x2168ff]
[0x2169b0, 0x2169bf]
[0x2169f0, 0x2169ff]
[0x216ab0, 0x216abf]
[0x216af0, 0x216aff]
[0x216bb0, 0x216bbf]
[0x216bf0, 0x216bff]
[0x216cb0, 0x216cb9]
[0x216cba, 0x216cbf]
[0x216cf0, 0x216cff]
[0x216db0, 0x216dbf]
[0x216df0, 0x216dff]
[0x216eb0, 0x216ebf]
[0x216ef0, 0x216eff]
[0x216fb0, 0x216fbf]
[0x216ff0, 0x216fff]
[0x2170b0, 0x2170bf]
[0x2170f0, 0x2170ff]
[0x2171b0, 0x2171bf]
[0x2171f0, 0x2171ff]
[0x2172b0, 0x2172b6]
[0x2172b7, 0x2172bf]
[0x2172f0, 0x2172f6]
[0x2172f7, 0x2172ff]
[0x2173b0, 0x2173bf]
[0x2173f0, 0x2173ff]
[0x2174b0, 0x2174bf]
[0x2174f0, 0x2174ff]
[0x2175b0, 0x2175bf]
[0x2175f0, 0x2175ff]
[0x2176b0, 0x2176bf]
[0x2176f0, 0x2176ff]
[0x2177b0, 0x2177bf]
[0x2177f0, 0x2177ff]
[0x2178b0, 0x2178bf]
[0x2178f0, 0x2178ff]
[0x2179b0, 0x2179bf]
[0x2179f0, 0x2179ff]
[0x217ab0, 0x217abf]
[0x217af0, 0x217aff]
[0x217bb0, 0x217bbf]
[0x217bf0, 0x217bff]
[0x217cb0, 0x217cb4]
[0x217cb5, 0x217cbf]
[0x217cf0, 0x217cff]
[0x217db0, 0x217dbf]
[0x217df0, 0x217dff]
[0x217eb0, 0x217ebf]
[0x217ef0, 0x217eff]
[0x217fb0, 0x217fbf]
[0x217ff0, 0x217fff]
[0x2180b0, 0x2180bf]
[0x2180f0, 0x2180ff]
[0x2181b0, 0x2181bf]
[0x2181f0, 0x2181ff]
[0x2182b0, 0x2182bf]
[0x2182f0, 0x2182ff]
[0x2183b0, 0x2183bf]
[0x2183f0, 0x2183ff]
[0x2184b0, 0x2184bf]
[0x2184f0, 0x2184ff]
[0x2185b0, 0x2185bf]
[0x2185f0, 0x2185ff]
[0x2186b0, 0x2186bf]
[0x2186f0, 0x2186ff]
[0x2187b0, 0x2187bf]
[0x2187f0, 0x2187ff]
[0x2188b0, 0x2188bf]
[0x2188f0, 0x2188ff]
[0x2189b0, 0x2189bf]
[0x2189f0, 0x2189ff]
[0x218ab0, 0x218abf]
[0x218af0, 0x218aff]
[0x218bb0, 0x218bbf]
[0x218bf0, 0x218bff]
[0x218cb0, 0x218cbf]
[0x218cf0, 0x218cff]
[0x218db0, 0x218dbf]
[0x218df0, 0x218dff]
[0x218eb0, 0x218ebf]
[0x218ef0, 0x218eff]
[0x218fb0, 0x218fbf]
[0x218ff0, 0x218fff]
[0x2190b0, 0x2190bf]
[0x2190f0, 0x2190ff]
[0x2191b0, 0x2191bf]
[0x2191f0, 0x2191ff]
[0x2192b0, 0x2192bf]
[0x2192f0, 0x2192ff]
[0x2193b0, 0x2193bf]
[0x2193f0, 0x2193ff]
[0x2194b0, 0x2194bf]
[0x2194f0, 0x2194ff]
[0x2195b0, 0x2195bf]
[0x2195f0, 0x2195ff]
[0x2196b0, 0x2196bf]
[0x2196f0, 0x2196ff]
[0x2197b0, 0x2197bf]
[0x2197f0, 0x2197ff]
[0x2198b0, 0x2198bf]
[0x2198f0, 0x2198ff]
[0x2199b0, 0x2199bf]
[0x2199f0, 0x2199ff]
[0x219ab0, 0x219abf]
[0x219af0, 0x219aff]
[0x219bb0, 0x219bbf]
[0x219bf0, 0x219bff]
[0x219cb0, 0x219cbf]
[0x219cf0, 0x219cff]
[0x219db0, 0x219dbf]
[0x219df0, 0x219dff]
[0x219eb0, 0x219ebf]
[0x219ef0, 0x219eff]
[0x219fb0, 0x219fbf]
[0x219ff0, 0x219fff]
[0x21a0b0, 0x21a0bf]
[0x21a0f1, 0x21a0ff]
[0x21a1b0, 0x21a1bf]
[0x21a1f0, 0x21a1ff]
[0x21a2b0, 0x21a2bf]
[0x21a2f0, 0x21a2ff]
